university,city,department,factor,reviewer_type,review_text,rating,
FAST-NUCES,Islamabad,Computer Science,Sports,Undergraduate student,"University: FAST-NUCES, City: Islamabad. Sports: Facilities are adequate for casual and intramural sports. Facilities are small for growing interest, with limited coaching staff.",4,
COMSATS,Islamabad,Electrical Engineering,Resources,Faculty,"University: COMSATS, City: Islamabad. Resources: Good access to online journals and lab licenses that support thesis work. Electrical Engineering faculty recently collaborated with local industry on projects.",5,
Fatima Jinnah Women University (Rawalpindi),Rawalpindi,Mechanical Engineering,Resources,Staff,"University: Fatima Jinnah Women University (Rawalpindi), City: Rawalpindi. Resources: Good access to online journals and lab licenses that support thesis work. Access to paid journals is limited for certain programs, blocking literature reviews. Lab booking logs and placement statistics reflect this trend.",4,
Riphah International University,Islamabad,Civil,Overall,Postgraduate student,"University: Riphah International University, City: Islamabad. Overall: Strong programs in technical fields with good placement pipelines for top students. Placement support favours top students; average students find fewer opportunities. Alumni feedback corroborates these points.",2,
BNU - Beaconhouse National University,Islamabad,Computer Science,Overall,Staff,"University: BNU - Beaconhouse National University, City: Islamabad. Overall: Overall reputation is strong for certain departments but weaker for others, causing mixed outcomes.",1,
NUML,Islamabad,Economics,Events,Staff,"University: NUML, City: Islamabad. Events: Tech expos and speaker series bring industry professionals and recent research talks. Logistics and scheduling conflicts sometimes reduce event quality. Based on informal surveys among peers, this is a recurring pattern.",3,
APCOMS,Rawalpindi,Computer Science,Sports,Alumni,"University: APCOMS, City: Rawalpindi. Sports: Active student clubs organize inter-department tournaments and fitness sessions.",5,
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Computer Science,Campus,Staff,"University: Pakistan Institute of Engineering and Applied Sciences (PIEAS), City: Islamabad. Campus: Green campus spaces useful for group study and outdoor events. Older buildings need renovation and signage is insufficient between blocks. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",3,
GIKI (commuter students),Rawalpindi,Physics,Hostels,Undergraduate student,"University: GIKI (commuter students), City: Rawalpindi. Hostels: Strict curfews and slow maintenance responses frustrate many residents. This aligns with several student forum complaints from last semester.",1,
SZABIST Islamabad,Islamabad,Physics,Resources,Alumni,"University: SZABIST Islamabad, City: Islamabad. Resources: Recent investments improved library and database subscriptions.",3,
COMSATS,Islamabad,Economics,Management,Staff,"University: COMSATS, City: Islamabad. Management: Online portals simplify registration and fee payments; scholarship info is clear. Lab booking logs and placement statistics reflect this trend. Several faculty members publish regularly.",5,
COMSATS,Islamabad,Mechanical Engineering,Sports,Faculty,"University: COMSATS, City: Islamabad. Sports: Funding for competitive teams is limited and coaching is inconsistent. Focus groups highlighted these issues during exit interviews.",3,
Riphah International University,Islamabad,Electrical Engineering,Management,Undergraduate student,"University: Riphah International University, City: Islamabad. Management: Grievance cells and student helplines exist to address issues. Students report slow responses from some administrative offices during peak periods.",4,
GIKI (commuter students),Rawalpindi,Mechanical Engineering,Faculty,Alumni,"University: GIKI (commuter students), City: Rawalpindi. Faculty: Several professors run labs with graduate students and publish regularly, offering good mentorship. Alumni feedback corroborates these points.",2,
Riphah International University,Islamabad,Electrical Engineering,Faculty,Alumni,"University: Riphah International University, City: Islamabad. Faculty: Some lecturers rely heavily on slide-based lectures and are hard to reach during office hours. Lab booking logs and placement statistics reflect this trend.",1,
NUML,Islamabad,Electrical Engineering,Cafeteria,Undergraduate student,"University: NUML, City: Islamabad. Cafeteria: Long queues and limited seating during events are frequent complaints. Focus groups highlighted these issues during exit interviews. Alumni feedback corroborates these points.",2,
NUML,Islamabad,Electrical Engineering,Management,Staff,"University: NUML, City: Islamabad. Management: Grievance cells and student helplines exist to address issues. Alumni feedback corroborates these points.",5,
Fatima Jinnah Women University (Rawalpindi),Rawalpindi,Medical,Labs,Undergraduate student,"University: Fatima Jinnah Women University (Rawalpindi), City: Rawalpindi. Labs: Practical lab sessions are well-supervised and closely linked to coursework. Certain lab equipment is dated and booking is competitive, delaying final projects. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship. Alumni feedback corroborates these points.",3,
FAST-NUCES,Islamabad,Medical,Management,Postgraduate student,"University: FAST-NUCES, City: Islamabad. Management: Grievance cells and student helplines exist to address issues. Students report slow responses from some administrative offices during peak periods.",4,
NUST,Islamabad,Physics,Faculty,Alumni,"University: NUST, City: Islamabad. Faculty: Faculty are research-active and helpful in securing internships and industry collaborations. Physics faculty recently collaborated with local industry on projects. Alumni feedback corroborates these points.",5,
Foundation University Islamabad,Islamabad,Electrical Engineering,Campus,Staff,"University: Foundation University Islamabad, City: Islamabad. Campus: Recent renovations provided improved study pods and accessibility features.",4,
Riphah International University,Islamabad,Business,Hostels,Undergraduate student,"University: Riphah International University, City: Islamabad. Hostels: Hostels offer secure accommodation with Wi‑Fi and study spaces. Lab booking logs and placement statistics reflect this trend.",5,
NUML,Islamabad,Electrical Engineering,Sports,Postgraduate student,"University: NUML, City: Islamabad. Sports: Facilities are small for growing interest, with limited coaching staff. Focus groups highlighted these issues during exit interviews.",3,
BNU - Beaconhouse National University,Islamabad,Mechanical Engineering,Overall,Postgraduate student,"University: BNU - Beaconhouse National University, City: Islamabad. Overall: Overall positive academic environment with opportunities for research.",5,
Air University,Islamabad,Business,Labs,Faculty,"University: Air University, City: Islamabad. Labs: Lab schedules clash with other courses and maintenance downtimes are poorly communicated.",1,
NUST,Islamabad,Mechanical Engineering,Cafeteria,Faculty,"University: NUST, City: Islamabad. Cafeteria: Affordable food options with some healthy choices and extended hours during exams. Food hygiene and variety are sometimes a concern, especially during busy hours. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",3,
COMSATS,Islamabad,Business,Cafeteria,Postgraduate student,"University: COMSATS, City: Islamabad. Cafeteria: Affordable food options with some healthy choices and extended hours during exams.",5,
FAST-NUCES,Islamabad,Economics,Overall,Postgraduate student,"University: FAST-NUCES, City: Islamabad. Overall: Strong programs in technical fields with good placement pipelines for top students. Placement support favours top students; average students find fewer opportunities. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",4,
FAST-NUCES,Islamabad,Biology,Faculty,Alumni,"University: FAST-NUCES, City: Islamabad. Faculty: Faculty are research-active and helpful in securing internships and industry collaborations. Some lecturers rely heavily on slide-based lectures and are hard to reach during office hours. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",4,
COMSATS,Islamabad,Economics,Labs,Faculty,"University: COMSATS, City: Islamabad. Labs: Practical lab sessions are well-supervised and closely linked to coursework.",4,
CUST,Islamabad,Biology,Hostels,Staff,"University: CUST, City: Islamabad. Hostels: Shared bathrooms and load-shedding affect daily comfort in older hostels.",3,
COMSATS,Islamabad,Biology,Resources,Faculty,"University: COMSATS, City: Islamabad. Resources: Recent investments improved library and database subscriptions.",5,
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Mechanical Engineering,Overall,Staff,"University: Pakistan Institute of Engineering and Applied Sciences (PIEAS), City: Islamabad. Overall: Strong programs in technical fields with good placement pipelines for top students. Mechanical Engineering faculty recently collaborated with local industry on projects. Based on informal surveys among peers, this is a recurring pattern.",4,
Air University,Islamabad,Economics,Events,Undergraduate student,"University: Air University, City: Islamabad. Events: Tech expos and speaker series bring industry professionals and recent research talks.",3,
Quaid-i-Azam University,Islamabad,Civil,Overall,Faculty,"University: Quaid-i-Azam University, City: Islamabad. Overall: Overall positive academic environment with opportunities for research. Placement support favours top students; average students find fewer opportunities. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship. Alumni feedback corroborates these points.",2,
GIKI (commuter students),Rawalpindi,Electrical Engineering,Cafeteria,Undergraduate student,"University: GIKI (commuter students), City: Rawalpindi. Cafeteria: Several vendors provide variety, though peak times get crowded. Long queues and limited seating during events are frequent complaints. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",3,
BNU - Beaconhouse National University,Islamabad,Mechanical Engineering,Sports,Staff,"University: BNU - Beaconhouse National University, City: Islamabad. Sports: Facilities are adequate for casual and intramural sports. Facilities are small for growing interest, with limited coaching staff. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",4,
Fatima Jinnah Women University (Rawalpindi),Rawalpindi,Electrical Engineering,Hostels,Faculty,"University: Fatima Jinnah Women University (Rawalpindi), City: Rawalpindi. Hostels: Hostels offer secure accommodation with Wi‑Fi and study spaces. Alumni feedback corroborates these points.",2,
Foundation University Islamabad,Islamabad,Civil,Labs,Staff,"University: Foundation University Islamabad, City: Islamabad. Labs: Practical lab sessions are well-supervised and closely linked to coursework.",5,
SZABIST Islamabad,Islamabad,Economics,Sports,Staff,"University: SZABIST Islamabad, City: Islamabad. Sports: Facilities are adequate for casual and intramural sports. Economics faculty recently collaborated with local industry on projects.",5,
GIKI (commuter students),Rawalpindi,Mechanical Engineering,Resources,Undergraduate student,"University: GIKI (commuter students), City: Rawalpindi. Resources: Recent investments improved library and database subscriptions. Access to paid journals is limited for certain programs, blocking literature reviews. Lab booking logs and placement statistics reflect this trend.",3,
BNU - Beaconhouse National University,Islamabad,Economics,Faculty,Postgraduate student,"University: BNU - Beaconhouse National University, City: Islamabad. Faculty: Several professors run labs with graduate students and publish regularly, offering good mentorship. Some lecturers rely heavily on slide-based lectures and are hard to reach during office hours. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship. Alumni feedback corroborates these points.",3,
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Computer Science,Sports,Undergraduate student,"University: Pakistan Institute of Engineering and Applied Sciences (PIEAS), City: Islamabad. Sports: Facilities are adequate for casual and intramural sports. Computer Science faculty recently collaborated with local industry on projects.",5,
Air University,Islamabad,Medical,Management,Postgraduate student,"University: Air University, City: Islamabad. Management: Elective approvals and administrative disputes can take several weeks to resolve. This aligns with several student forum complaints from last semester.",3,
Quaid-i-Azam University,Islamabad,Mechanical Engineering,Resources,Faculty,"University: Quaid-i-Azam University, City: Islamabad. Resources: Good access to online journals and lab licenses that support thesis work. Access to paid journals is limited for certain programs, blocking literature reviews. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship. Lab booking logs and placement statistics reflect this trend. Several faculty members publish regularly.",4,
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Electrical Engineering,Cafeteria,Undergraduate student,"University: Pakistan Institute of Engineering and Applied Sciences (PIEAS), City: Islamabad. Cafeteria: Several vendors provide variety, though peak times get crowded. Long queues and limited seating during events are frequent complaints. Lab booking logs and placement statistics reflect this trend.",4,
FAST-NUCES,Islamabad,Economics,Hostels,Faculty,"University: FAST-NUCES, City: Islamabad. Hostels: Hostels offer secure accommodation with Wi‑Fi and study spaces. A visible improvement over the past two years.",3,
APCOMS,Rawalpindi,Biology,Sports,Postgraduate student,"University: APCOMS, City: Rawalpindi. Sports: Facilities are small for growing interest, with limited coaching staff.",1,
APCOMS,Rawalpindi,Civil,Faculty,Postgraduate student,"University: APCOMS, City: Rawalpindi. Faculty: Variation in faculty quality exists — adjuncts sometimes lack consistent feedback. Focus groups highlighted these issues during exit interviews.",3,
NUML,Islamabad,Computer Science,Management,Postgraduate student,"University: NUML, City: Islamabad. Management: Online portals simplify registration and fee payments; scholarship info is clear. In Computer Science, students reported strong project outcomes this year. Alumni feedback corroborates these points.",5,
Air University,Islamabad,Computer Science,Sports,Postgraduate student,"University: Air University, City: Islamabad. Sports: Active student clubs organize inter-department tournaments and fitness sessions. Funding for competitive teams is limited and coaching is inconsistent.",4,
CUST,Islamabad,Mechanical Engineering,Campus,Postgraduate student,"University: CUST, City: Islamabad. Campus: Older buildings need renovation and signage is insufficient between blocks. Focus groups highlighted these issues during exit interviews.",1,
BNU - Beaconhouse National University,Islamabad,Physics,Events,Staff,"University: BNU - Beaconhouse National University, City: Islamabad. Events: Student societies run well-attended cultural and academic events.",3,
NUST,Islamabad,Mechanical Engineering,Management,Faculty,"University: NUST, City: Islamabad. Management: Students report slow responses from some administrative offices during peak periods. Lab booking logs and placement statistics reflect this trend.",1,
Riphah International University,Islamabad,Civil,Cafeteria,Postgraduate student,"University: Riphah International University, City: Islamabad. Cafeteria: Several vendors provide variety, though peak times get crowded.",4,
Foundation University Islamabad,Islamabad,Economics,Hostels,Postgraduate student,"University: Foundation University Islamabad, City: Islamabad. Hostels: Newer hostels have good amenities and 24/7 security. Shared bathrooms and load-shedding affect daily comfort in older hostels. Alumni feedback corroborates these points. Students recommended extending lab hours.",4,
Quaid-i-Azam University,Islamabad,Biology,Management,Postgraduate student,"University: Quaid-i-Azam University, City: Islamabad. Management: Grievance cells and student helplines exist to address issues. Students report slow responses from some administrative offices during peak periods.",4,
GIKI (commuter students),Rawalpindi,Business,Campus,Faculty,"University: GIKI (commuter students), City: Rawalpindi. Campus: Accessibility gaps remain despite improvements in some areas. This aligns with several student forum complaints from last semester.",3,
NUST,Islamabad,Electrical Engineering,Labs,Postgraduate student,"University: NUST, City: Islamabad. Labs: Certain lab equipment is dated and booking is competitive, delaying final projects.",1,
BNU - Beaconhouse National University,Islamabad,Economics,Management,Faculty,"University: BNU - Beaconhouse National University, City: Islamabad. Management: Grievance cells and student helplines exist to address issues. Based on informal surveys among peers, this is a recurring pattern.",5,
Air University,Islamabad,Economics,Cafeteria,Staff,"University: Air University, City: Islamabad. Cafeteria: Food hygiene and variety are sometimes a concern, especially during busy hours.",2,
NUST,Islamabad,Mechanical Engineering,Cafeteria,Postgraduate student,"University: NUST, City: Islamabad. Cafeteria: Affordable food options with some healthy choices and extended hours during exams. Food hygiene and variety are sometimes a concern, especially during busy hours. Lab booking logs and placement statistics reflect this trend.",4,
Quaid-i-Azam University,Islamabad,Computer Science,Resources,Postgraduate student,"University: Quaid-i-Azam University, City: Islamabad. Resources: Good access to online journals and lab licenses that support thesis work. Access to paid journals is limited for certain programs, blocking literature reviews.",3,
Riphah International University,Islamabad,Economics,Labs,Postgraduate student,"University: Riphah International University, City: Islamabad. Labs: Labs have modern equipment (including GPU clusters in CS) useful for projects and competitions. Lab schedules clash with other courses and maintenance downtimes are poorly communicated. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",3,
Riphah Rawalpindi Campus,Rawalpindi,Mechanical Engineering,Events,Undergraduate student,"University: Riphah Rawalpindi Campus, City: Rawalpindi. Events: Tech expos and speaker series bring industry professionals and recent research talks. Based on informal surveys among peers, this is a recurring pattern.",3,
FAST-NUCES,Islamabad,Physics,Labs,Staff,"University: FAST-NUCES, City: Islamabad. Labs: Lab schedules clash with other courses and maintenance downtimes are poorly communicated.",1,
Riphah Rawalpindi Campus,Rawalpindi,Economics,Faculty,Undergraduate student,"University: Riphah Rawalpindi Campus, City: Rawalpindi. Faculty: Variation in faculty quality exists — adjuncts sometimes lack consistent feedback. This aligns with several student forum complaints from last semester.",1,
Quaid-i-Azam University,Islamabad,Electrical Engineering,Events,Postgraduate student,"University: Quaid-i-Azam University, City: Islamabad. Events: Student societies run well-attended cultural and academic events.",5,
Riphah Rawalpindi Campus,Rawalpindi,Medical,Hostels,Alumni,"University: Riphah Rawalpindi Campus, City: Rawalpindi. Hostels: Newer hostels have good amenities and 24/7 security. Strict curfews and slow maintenance responses frustrate many residents.",2,
BNU - Beaconhouse National University,Islamabad,Economics,Resources,Faculty,"University: BNU - Beaconhouse National University, City: Islamabad. Resources: Recent investments improved library and database subscriptions.",2,
APCOMS,Rawalpindi,Business,Faculty,Faculty,"University: APCOMS, City: Rawalpindi. Faculty: Several professors run labs with graduate students and publish regularly, offering good mentorship.",5,
Rawalpindi Medical University,Rawalpindi,Computer Science,Labs,Undergraduate student,"University: Rawalpindi Medical University, City: Rawalpindi. Labs: Practical lab sessions are well-supervised and closely linked to coursework.",4,
BNU - Beaconhouse National University,Islamabad,Electrical Engineering,Cafeteria,Alumni,"University: BNU - Beaconhouse National University, City: Islamabad. Cafeteria: Several vendors provide variety, though peak times get crowded. Food hygiene and variety are sometimes a concern, especially during busy hours.",4,
SZABIST Islamabad,Islamabad,Biology,Resources,Staff,"University: SZABIST Islamabad, City: Islamabad. Resources: Good access to online journals and lab licenses that support thesis work. Access to paid journals is limited for certain programs, blocking literature reviews.",3,
Air University,Islamabad,Biology,Cafeteria,Staff,"University: Air University, City: Islamabad. Cafeteria: Several vendors provide variety, though peak times get crowded. Food hygiene and variety are sometimes a concern, especially during busy hours. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",4,
Riphah International University,Islamabad,Medical,Cafeteria,Faculty,"University: Riphah International University, City: Islamabad. Cafeteria: Affordable food options with some healthy choices and extended hours during exams. Lab booking logs and placement statistics reflect this trend.",3,
APCOMS,Rawalpindi,Electrical Engineering,Faculty,Alumni,"University: APCOMS, City: Rawalpindi. Faculty: Several professors run labs with graduate students and publish regularly, offering good mentorship.",4,
Air University,Islamabad,Computer Science,Sports,Faculty,"University: Air University, City: Islamabad. Sports: Facilities are adequate for casual and intramural sports. Facilities are small for growing interest, with limited coaching staff. Lab booking logs and placement statistics reflect this trend.",3,
Fatima Jinnah Women University (Rawalpindi),Rawalpindi,Civil,Faculty,Staff,"University: Fatima Jinnah Women University (Rawalpindi), City: Rawalpindi. Faculty: Several professors run labs with graduate students and publish regularly, offering good mentorship.",3,
Foundation University Islamabad,Islamabad,Electrical Engineering,Faculty,Faculty,"University: Foundation University Islamabad, City: Islamabad. Faculty: Some lecturers rely heavily on slide-based lectures and are hard to reach during office hours. Alumni feedback corroborates these points.",2,
BNU - Beaconhouse National University,Islamabad,Civil,Labs,Postgraduate student,"University: BNU - Beaconhouse National University, City: Islamabad. Labs: Practical lab sessions are well-supervised and closely linked to coursework. Lab schedules clash with other courses and maintenance downtimes are poorly communicated. Lab booking logs and placement statistics reflect this trend.",2,
CUST,Islamabad,Biology,Faculty,Undergraduate student,"University: CUST, City: Islamabad. Faculty: Faculty are research-active and helpful in securing internships and industry collaborations.",5,
NUML,Islamabad,Economics,Cafeteria,Staff,"University: NUML, City: Islamabad. Cafeteria: Long queues and limited seating during events are frequent complaints. Focus groups highlighted these issues during exit interviews.",2,
GIKI (commuter students),Rawalpindi,Mechanical Engineering,Hostels,Postgraduate student,"University: GIKI (commuter students), City: Rawalpindi. Hostels: Shared bathrooms and load-shedding affect daily comfort in older hostels. This aligns with several student forum complaints from last semester.",1,
Quaid-i-Azam University,Islamabad,Physics,Faculty,Alumni,"University: Quaid-i-Azam University, City: Islamabad. Faculty: Faculty are research-active and helpful in securing internships and industry collaborations. Some lecturers rely heavily on slide-based lectures and are hard to reach during office hours.",4,
Rawalpindi Medical University,Rawalpindi,Biology,Overall,Faculty,"University: Rawalpindi Medical University, City: Rawalpindi. Overall: Overall positive academic environment with opportunities for research. Overall reputation is strong for certain departments but weaker for others, causing mixed outcomes.",3,
GIKI (commuter students),Rawalpindi,Physics,Cafeteria,Undergraduate student,"University: GIKI (commuter students), City: Rawalpindi. Cafeteria: Several vendors provide variety, though peak times get crowded. Food hygiene and variety are sometimes a concern, especially during busy hours. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship. Lab booking logs and placement statistics reflect this trend.",4,
COMSATS,Islamabad,Business,Sports,Faculty,"University: COMSATS, City: Islamabad. Sports: Active student clubs organize inter-department tournaments and fitness sessions. Alumni feedback corroborates these points.",2,
SZABIST Islamabad,Islamabad,Mechanical Engineering,Faculty,Alumni,"University: SZABIST Islamabad, City: Islamabad. Faculty: Faculty are research-active and helpful in securing internships and industry collaborations. Some lecturers rely heavily on slide-based lectures and are hard to reach during office hours.",4,
Fatima Jinnah Women University (Rawalpindi),Rawalpindi,Computer Science,Hostels,Undergraduate student,"University: Fatima Jinnah Women University (Rawalpindi), City: Rawalpindi. Hostels: Strict curfews and slow maintenance responses frustrate many residents.",1,
NUST,Islamabad,Economics,Overall,Faculty,"University: NUST, City: Islamabad. Overall: Placement support favours top students; average students find fewer opportunities.",3,
Foundation University Islamabad,Islamabad,Economics,Labs,Postgraduate student,"University: Foundation University Islamabad, City: Islamabad. Labs: Labs have modern equipment (including GPU clusters in CS) useful for projects and competitions.",4,
COMSATS,Islamabad,Physics,Events,Staff,"University: COMSATS, City: Islamabad. Events: Tech expos and speaker series bring industry professionals and recent research talks. Hostel maintenance needs faster turnaround.",4,
Fatima Jinnah Women University (Rawalpindi),Rawalpindi,Medical,Cafeteria,Undergraduate student,"University: Fatima Jinnah Women University (Rawalpindi), City: Rawalpindi. Cafeteria: Several vendors provide variety, though peak times get crowded. Long queues and limited seating during events are frequent complaints. Based on informal surveys among peers, this is a recurring pattern.",2,
Riphah International University,Islamabad,Medical,Events,Alumni,"University: Riphah International University, City: Islamabad. Events: Student societies run well-attended cultural and academic events. Event funding fluctuates year-to-year causing some cancellations. Hostel maintenance needs faster turnaround.",3,
NUST,Islamabad,Physics,Hostels,Faculty,"University: NUST, City: Islamabad. Hostels: Newer hostels have good amenities and 24/7 security. Based on informal surveys among peers, this is a recurring pattern.",4,
Quaid-i-Azam University,Islamabad,Physics,Faculty,Undergraduate student,"University: Quaid-i-Azam University, City: Islamabad. Faculty: Several professors run labs with graduate students and publish regularly, offering good mentorship. Variation in faculty quality exists — adjuncts sometimes lack consistent feedback. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship. Alumni feedback corroborates these points.",3,
Riphah International University,Islamabad,Mechanical Engineering,Campus,Undergraduate student,"University: Riphah International University, City: Islamabad. Campus: Recent renovations provided improved study pods and accessibility features. Accessibility gaps remain despite improvements in some areas. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",4,
Fatima Jinnah Women University (Rawalpindi),Rawalpindi,Medical,Resources,Staff,"University: Fatima Jinnah Women University (Rawalpindi), City: Rawalpindi. Resources: Good access to online journals and lab licenses that support thesis work.",4,
NUML,Islamabad,Electrical Engineering,Overall,Undergraduate student,"University: NUML, City: Islamabad. Overall: Overall positive academic environment with opportunities for research. Overall reputation is strong for certain departments but weaker for others, causing mixed outcomes.",3,
COMSATS,Islamabad,Computer Science,Campus,Staff,"University: COMSATS, City: Islamabad. Campus: Recent renovations provided improved study pods and accessibility features. Accessibility gaps remain despite improvements in some areas.",3,
APCOMS,Rawalpindi,Business,Faculty,Staff,"University: APCOMS, City: Rawalpindi. Faculty: Faculty are research-active and helpful in securing internships and industry collaborations. Some lecturers rely heavily on slide-based lectures and are hard to reach during office hours.",3,
GIKI (commuter students),Rawalpindi,Electrical Engineering,Sports,Faculty,"University: GIKI (commuter students), City: Rawalpindi. Sports: Facilities are small for growing interest, with limited coaching staff. Based on informal surveys among peers, this is a recurring pattern.",1,
COMSATS,Islamabad,Mechanical Engineering,Hostels,Postgraduate student,"University: COMSATS, City: Islamabad. Hostels: Newer hostels have good amenities and 24/7 security. Shared bathrooms and load-shedding affect daily comfort in older hostels.",3,
Riphah Rawalpindi Campus,Rawalpindi,Biology,Management,Staff,"University: Riphah Rawalpindi Campus, City: Rawalpindi. Management: Grievance cells and student helplines exist to address issues. Students report slow responses from some administrative offices during peak periods.",4,
FAST-NUCES,Islamabad,Economics,Events,Undergraduate student,"University: FAST-NUCES, City: Islamabad. Events: Logistics and scheduling conflicts sometimes reduce event quality. Focus groups highlighted these issues during exit interviews.",2,
FAST-NUCES,Islamabad,Civil,Cafeteria,Faculty,"University: FAST-NUCES, City: Islamabad. Cafeteria: Several vendors provide variety, though peak times get crowded. Long queues and limited seating during events are frequent complaints. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship. Lab booking logs and placement statistics reflect this trend.",3,
SZABIST Islamabad,Islamabad,Civil,Campus,Staff,"University: SZABIST Islamabad, City: Islamabad. Campus: Green campus spaces useful for group study and outdoor events.",4,
APCOMS,Rawalpindi,Computer Science,Resources,Alumni,"University: APCOMS, City: Rawalpindi. Resources: Good access to online journals and lab licenses that support thesis work. Resource allocation can be uneven; some departments report outdated software or restricted hours.",2,
FAST-NUCES,Islamabad,Medical,Cafeteria,Undergraduate student,"University: FAST-NUCES, City: Islamabad. Cafeteria: Food hygiene and variety are sometimes a concern, especially during busy hours. Lab booking logs and placement statistics reflect this trend.",2,
Riphah International University,Islamabad,Business,Labs,Staff,"University: Riphah International University, City: Islamabad. Labs: Labs have modern equipment (including GPU clusters in CS) useful for projects and competitions. Certain lab equipment is dated and booking is competitive, delaying final projects.",3,
Rawalpindi Medical University,Rawalpindi,Economics,Faculty,Alumni,"University: Rawalpindi Medical University, City: Rawalpindi. Faculty: Variation in faculty quality exists — adjuncts sometimes lack consistent feedback. Focus groups highlighted these issues during exit interviews. Based on informal surveys among peers, this is a recurring pattern.",1,
COMSATS,Islamabad,Business,Faculty,Faculty,"University: COMSATS, City: Islamabad. Faculty: Faculty are research-active and helpful in securing internships and industry collaborations. Variation in faculty quality exists — adjuncts sometimes lack consistent feedback. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",3,
SZABIST Islamabad,Islamabad,Computer Science,Faculty,Undergraduate student,"University: SZABIST Islamabad, City: Islamabad. Faculty: Faculty are research-active and helpful in securing internships and industry collaborations. Variation in faculty quality exists — adjuncts sometimes lack consistent feedback. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",2,
SZABIST Islamabad,Islamabad,Electrical Engineering,Events,Faculty,"University: SZABIST Islamabad, City: Islamabad. Events: Student societies run well-attended cultural and academic events. Electrical Engineering faculty recently collaborated with local industry on projects.",5,
Rawalpindi Medical University,Rawalpindi,Physics,Campus,Faculty,"University: Rawalpindi Medical University, City: Rawalpindi. Campus: Recent renovations provided improved study pods and accessibility features. Older buildings need renovation and signage is insufficient between blocks.",3,
FAST-NUCES,Islamabad,Electrical Engineering,Cafeteria,Postgraduate student,"University: FAST-NUCES, City: Islamabad. Cafeteria: Several vendors provide variety, though peak times get crowded. Lab booking logs and placement statistics reflect this trend.",5,
Air University,Islamabad,Civil,Hostels,Staff,"University: Air University, City: Islamabad. Hostels: Shared bathrooms and load-shedding affect daily comfort in older hostels.",2,
Foundation University Islamabad,Islamabad,Biology,Sports,Undergraduate student,"University: Foundation University Islamabad, City: Islamabad. Sports: Active student clubs organize inter-department tournaments and fitness sessions. Biology faculty recently collaborated with local industry on projects.",4,
NUST,Islamabad,Economics,Campus,Faculty,"University: NUST, City: Islamabad. Campus: Green campus spaces useful for group study and outdoor events. Older buildings need renovation and signage is insufficient between blocks. A visible improvement over the past two years.",3,
Foundation University Islamabad,Islamabad,Electrical Engineering,Faculty,Alumni,"University: Foundation University Islamabad, City: Islamabad. Faculty: Several professors run labs with graduate students and publish regularly, offering good mentorship. Some lecturers rely heavily on slide-based lectures and are hard to reach during office hours. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship. Students recommended extending lab hours.",3,
BNU - Beaconhouse National University,Islamabad,Computer Science,Campus,Undergraduate student,"University: BNU - Beaconhouse National University, City: Islamabad. Campus: Recent renovations provided improved study pods and accessibility features.",4,
BNU - Beaconhouse National University,Islamabad,Medical,Sports,Undergraduate student,"University: BNU - Beaconhouse National University, City: Islamabad. Sports: Facilities are adequate for casual and intramural sports.",4,
SZABIST Islamabad,Islamabad,Business,Management,Faculty,"University: SZABIST Islamabad, City: Islamabad. Management: Students report slow responses from some administrative offices during peak periods. Focus groups highlighted these issues during exit interviews. Alumni feedback corroborates these points.",2,
GIKI (commuter students),Rawalpindi,Biology,Campus,Undergraduate student,"University: GIKI (commuter students), City: Rawalpindi. Campus: Recent renovations provided improved study pods and accessibility features. Accessibility gaps remain despite improvements in some areas. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",2,
APCOMS,Rawalpindi,Electrical Engineering,Faculty,Undergraduate student,"University: APCOMS, City: Rawalpindi. Faculty: Faculty are research-active and helpful in securing internships and industry collaborations. Variation in faculty quality exists — adjuncts sometimes lack consistent feedback.",3,
Riphah International University,Islamabad,Medical,Overall,Staff,"University: Riphah International University, City: Islamabad. Overall: Strong programs in technical fields with good placement pipelines for top students. Placement support favours top students; average students find fewer opportunities.",2,
