university,city,department,factor,reviewer_type,review_text,rating
Rawalpindi Medical University,Rawalpindi,Civil,Overall,Undergraduate student,"University: Rawalpindi Medical University, City: Rawalpindi. Overall: Strong programs in technical fields with good placement pipelines for top students. Based on informal surveys among peers, this is a recurring pattern.",5
Rawalpindi Medical University,Rawalpindi,Electrical Engineering,Faculty,Faculty,"University: Rawalpindi Medical University, City: Rawalpindi. Faculty: Faculty are research-active and helpful in securing internships and industry collaborations. Some lecturers rely heavily on slide-based lectures and are hard to reach during office hours. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship. Based on informal surveys among peers, this is a recurring pattern.",3
Fatima Jinnah Women University (Rawalpindi),Rawalpindi,Physics,Resources,Faculty,"University: Fatima Jinnah Women University (Rawalpindi), City: Rawalpindi. Resources: Recent investments improved library and database subscriptions. Access to paid journals is limited for certain programs, blocking literature reviews.",4
Fatima Jinnah Women University (Rawalpindi),Rawalpindi,Electrical Engineering,Hostels,Undergraduate student,"University: Fatima Jinnah Women University (Rawalpindi), City: Rawalpindi. Hostels: Newer hostels have good amenities and 24/7 security. Shared bathrooms and load-shedding affect daily comfort in older hostels. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",4
Fatima Jinnah Women University (Rawalpindi),Rawalpindi,Physics,Hostels,Undergraduate student,"University: Fatima Jinnah Women University (Rawalpindi), City: Rawalpindi. Hostels: Newer hostels have good amenities and 24/7 security. Strict curfews and slow maintenance responses frustrate many residents. Based on informal surveys among peers, this is a recurring pattern.",3
NUST,Islamabad,Physics,Cafeteria,Faculty,"University: NUST, City: Islamabad. Cafeteria: Several vendors provide variety, though peak times get crowded. Long queues and limited seating during events are frequent complaints. Lab booking logs and placement statistics reflect this trend.",2
Quaid-i-Azam University,Islamabad,Medical,Management,Staff,"University: Quaid-i-Azam University, City: Islamabad. Management: Online portals simplify registration and fee payments; scholarship info is clear. Students report slow responses from some administrative offices during peak periods.",3
APCOMS,Rawalpindi,Business,Management,Alumni,"University: APCOMS, City: Rawalpindi. Management: Grievance cells and student helplines exist to address issues. Elective approvals and administrative disputes can take several weeks to resolve. Lab booking logs and placement statistics reflect this trend.",4
SZABIST Islamabad,Islamabad,Biology,Overall,Postgraduate student,"University: SZABIST Islamabad, City: Islamabad. Overall: Overall positive academic environment with opportunities for research. Placement support favours top students; average students find fewer opportunities.",4
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Medical,Faculty,Faculty,"University: Pakistan Institute of Engineering and Applied Sciences (PIEAS), City: Islamabad. Faculty: Several professors run labs with graduate students and publish regularly, offering good mentorship.",5
Riphah International University,Islamabad,Electrical Engineering,Faculty,Undergraduate student,"University: Riphah International University, City: Islamabad. Faculty: Several professors run labs with graduate students and publish regularly, offering good mentorship. Some lecturers rely heavily on slide-based lectures and are hard to reach during office hours. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",4
APCOMS,Rawalpindi,Computer Science,Management,Faculty,"University: APCOMS, City: Rawalpindi. Management: Grievance cells and student helplines exist to address issues. Students report slow responses from some administrative offices during peak periods.",4
NUML,Islamabad,Mechanical Engineering,Events,Alumni,"University: NUML, City: Islamabad. Events: Student societies run well-attended cultural and academic events. Lab booking logs and placement statistics reflect this trend.",5
Fatima Jinnah Women University (Rawalpindi),Rawalpindi,Computer Science,Management,Faculty,"University: Fatima Jinnah Women University (Rawalpindi), City: Rawalpindi. Management: Online portals simplify registration and fee payments; scholarship info is clear. Students report slow responses from some administrative offices during peak periods. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship. Lab booking logs and placement statistics reflect this trend.",4
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Civil,Faculty,Undergraduate student,"University: Pakistan Institute of Engineering and Applied Sciences (PIEAS), City: Islamabad. Faculty: Variation in faculty quality exists — adjuncts sometimes lack consistent feedback. Based on informal surveys among peers, this is a recurring pattern.",1
Fatima Jinnah Women University (Rawalpindi),Rawalpindi,Computer Science,Labs,Postgraduate student,"University: Fatima Jinnah Women University (Rawalpindi), City: Rawalpindi. Labs: Labs have modern equipment (including GPU clusters in CS) useful for projects and competitions. Lab schedules clash with other courses and maintenance downtimes are poorly communicated.",4
APCOMS,Rawalpindi,Business,Labs,Undergraduate student,"University: APCOMS, City: Rawalpindi. Labs: Labs have modern equipment (including GPU clusters in CS) useful for projects and competitions. Certain lab equipment is dated and booking is competitive, delaying final projects. Alumni feedback corroborates these points.",4
BNU - Beaconhouse National University,Islamabad,Computer Science,Faculty,Postgraduate student,"University: BNU - Beaconhouse National University, City: Islamabad. Faculty: Several professors run labs with graduate students and publish regularly, offering good mentorship. Variation in faculty quality exists — adjuncts sometimes lack consistent feedback.",4
Rawalpindi Medical University,Rawalpindi,Computer Science,Campus,Alumni,"University: Rawalpindi Medical University, City: Rawalpindi. Campus: Green campus spaces useful for group study and outdoor events. Older buildings need renovation and signage is insufficient between blocks. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",3
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Electrical Engineering,Hostels,Postgraduate student,"University: Pakistan Institute of Engineering and Applied Sciences (PIEAS), City: Islamabad. Hostels: Strict curfews and slow maintenance responses frustrate many residents. Based on informal surveys among peers, this is a recurring pattern.",2
Fatima Jinnah Women University (Rawalpindi),Rawalpindi,Electrical Engineering,Hostels,Faculty,"University: Fatima Jinnah Women University (Rawalpindi), City: Rawalpindi. Hostels: Strict curfews and slow maintenance responses frustrate many residents. This aligns with several student forum complaints from last semester.",2
COMSATS,Islamabad,Biology,Resources,Postgraduate student,"University: COMSATS, City: Islamabad. Resources: Resource allocation can be uneven; some departments report outdated software or restricted hours.",1
Foundation University Islamabad,Islamabad,Physics,Cafeteria,Staff,"University: Foundation University Islamabad, City: Islamabad. Cafeteria: Several vendors provide variety, though peak times get crowded. Long queues and limited seating during events are frequent complaints.",2
CUST,Islamabad,Biology,Management,Alumni,"University: CUST, City: Islamabad. Management: Grievance cells and student helplines exist to address issues. Students report slow responses from some administrative offices during peak periods.",4
Air University,Islamabad,Civil,Resources,Faculty,"University: Air University, City: Islamabad. Resources: Recent investments improved library and database subscriptions. Based on informal surveys among peers, this is a recurring pattern.",4
FAST-NUCES,Islamabad,Civil,Campus,Staff,"University: FAST-NUCES, City: Islamabad. Campus: Recent renovations provided improved study pods and accessibility features. Accessibility gaps remain despite improvements in some areas. Based on informal surveys among peers, this is a recurring pattern.",3
NUML,Islamabad,Physics,Cafeteria,Postgraduate student,"University: NUML, City: Islamabad. Cafeteria: Several vendors provide variety, though peak times get crowded. Physics faculty recently collaborated with local industry on projects.",5
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Civil,Resources,Alumni,"University: Pakistan Institute of Engineering and Applied Sciences (PIEAS), City: Islamabad. Resources: Access to paid journals is limited for certain programs, blocking literature reviews. Focus groups highlighted these issues during exit interviews.",2
Quaid-i-Azam University,Islamabad,Electrical Engineering,Overall,Alumni,"University: Quaid-i-Azam University, City: Islamabad. Overall: Overall reputation is strong for certain departments but weaker for others, causing mixed outcomes. Lab booking logs and placement statistics reflect this trend.",2
NUML,Islamabad,Computer Science,Resources,Alumni,"University: NUML, City: Islamabad. Resources: Good access to online journals and lab licenses that support thesis work. Resource allocation can be uneven; some departments report outdated software or restricted hours. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship. Alumni feedback corroborates these points.",3
Quaid-i-Azam University,Islamabad,Computer Science,Hostels,Alumni,"University: Quaid-i-Azam University, City: Islamabad. Hostels: Hostels offer secure accommodation with Wi‑Fi and study spaces. Strict curfews and slow maintenance responses frustrate many residents.",4
NUST,Islamabad,Business,Events,Faculty,"University: NUST, City: Islamabad. Events: Tech expos and speaker series bring industry professionals and recent research talks. Lab booking logs and placement statistics reflect this trend.",3
BNU - Beaconhouse National University,Islamabad,Business,Labs,Postgraduate student,"University: BNU - Beaconhouse National University, City: Islamabad. Labs: Labs have modern equipment (including GPU clusters in CS) useful for projects and competitions.",5
NUST,Islamabad,Economics,Management,Staff,"University: NUST, City: Islamabad. Management: Students report slow responses from some administrative offices during peak periods. Focus groups highlighted these issues during exit interviews.",2
NUST,Islamabad,Civil,Campus,Staff,"University: NUST, City: Islamabad. Campus: Older buildings need renovation and signage is insufficient between blocks.",2
FAST-NUCES,Islamabad,Computer Science,Sports,Staff,"University: FAST-NUCES, City: Islamabad. Sports: Active student clubs organize inter-department tournaments and fitness sessions. Funding for competitive teams is limited and coaching is inconsistent.",3
FAST-NUCES,Islamabad,Economics,Resources,Undergraduate student,"University: FAST-NUCES, City: Islamabad. Resources: Access to paid journals is limited for certain programs, blocking literature reviews. This aligns with several student forum complaints from last semester.",3
SZABIST Islamabad,Islamabad,Physics,Cafeteria,Postgraduate student,"University: SZABIST Islamabad, City: Islamabad. Cafeteria: Several vendors provide variety, though peak times get crowded. In Physics, students reported strong project outcomes this year.",5
Riphah International University,Islamabad,Biology,Management,Postgraduate student,"University: Riphah International University, City: Islamabad. Management: Grievance cells and student helplines exist to address issues.",4
Foundation University Islamabad,Islamabad,Electrical Engineering,Events,Postgraduate student,"University: Foundation University Islamabad, City: Islamabad. Events: Student societies run well-attended cultural and academic events. Lab booking logs and placement statistics reflect this trend.",5
GIKI (commuter students),Rawalpindi,Medical,Management,Faculty,"University: GIKI (commuter students), City: Rawalpindi. Management: Elective approvals and administrative disputes can take several weeks to resolve.",2
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Biology,Sports,Alumni,"University: Pakistan Institute of Engineering and Applied Sciences (PIEAS), City: Islamabad. Sports: Funding for competitive teams is limited and coaching is inconsistent.",2
GIKI (commuter students),Rawalpindi,Computer Science,Cafeteria,Alumni,"University: GIKI (commuter students), City: Rawalpindi. Cafeteria: Long queues and limited seating during events are frequent complaints.",1
COMSATS,Islamabad,Mechanical Engineering,Events,Faculty,"University: COMSATS, City: Islamabad. Events: Student societies run well-attended cultural and academic events. Mechanical Engineering faculty recently collaborated with local industry on projects.",5
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Mechanical Engineering,Cafeteria,Undergraduate student,"University: Pakistan Institute of Engineering and Applied Sciences (PIEAS), City: Islamabad. Cafeteria: Affordable food options with some healthy choices and extended hours during exams. In Mechanical Engineering, students reported strong project outcomes this year.",5
APCOMS,Rawalpindi,Biology,Overall,Alumni,"University: APCOMS, City: Rawalpindi. Overall: Strong programs in technical fields with good placement pipelines for top students. Overall reputation is strong for certain departments but weaker for others, causing mixed outcomes.",4
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Economics,Faculty,Staff,"University: Pakistan Institute of Engineering and Applied Sciences (PIEAS), City: Islamabad. Faculty: Faculty are research-active and helpful in securing internships and industry collaborations. Some lecturers rely heavily on slide-based lectures and are hard to reach during office hours. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship. Based on informal surveys among peers, this is a recurring pattern.",3
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Economics,Management,Postgraduate student,"University: Pakistan Institute of Engineering and Applied Sciences (PIEAS), City: Islamabad. Management: Grievance cells and student helplines exist to address issues. Students report slow responses from some administrative offices during peak periods.",4
APCOMS,Rawalpindi,Mechanical Engineering,Campus,Undergraduate student,"University: APCOMS, City: Rawalpindi. Campus: Accessibility gaps remain despite improvements in some areas. Alumni feedback corroborates these points.",1
APCOMS,Rawalpindi,Computer Science,Cafeteria,Undergraduate student,"University: APCOMS, City: Rawalpindi. Cafeteria: Several vendors provide variety, though peak times get crowded.",5
Quaid-i-Azam University,Islamabad,Medical,Events,Postgraduate student,"University: Quaid-i-Azam University, City: Islamabad. Events: Tech expos and speaker series bring industry professionals and recent research talks. Logistics and scheduling conflicts sometimes reduce event quality.",4
COMSATS,Islamabad,Economics,Events,Undergraduate student,"University: COMSATS, City: Islamabad. Events: Student societies run well-attended cultural and academic events. Logistics and scheduling conflicts sometimes reduce event quality. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",4
Rawalpindi Medical University,Rawalpindi,Electrical Engineering,Hostels,Undergraduate student,"University: Rawalpindi Medical University, City: Rawalpindi. Hostels: Newer hostels have good amenities and 24/7 security. Shared bathrooms and load-shedding affect daily comfort in older hostels.",3
Foundation University Islamabad,Islamabad,Mechanical Engineering,Overall,Alumni,"University: Foundation University Islamabad, City: Islamabad. Overall: Placement support favours top students; average students find fewer opportunities. Alumni feedback corroborates these points.",2
COMSATS,Islamabad,Physics,Events,Alumni,"University: COMSATS, City: Islamabad. Events: Student societies run well-attended cultural and academic events. Alumni feedback corroborates these points.",5
Foundation University Islamabad,Islamabad,Business,Resources,Faculty,"University: Foundation University Islamabad, City: Islamabad. Resources: Good access to online journals and lab licenses that support thesis work. Lab booking logs and placement statistics reflect this trend.",3
Quaid-i-Azam University,Islamabad,Biology,Campus,Staff,"University: Quaid-i-Azam University, City: Islamabad. Campus: Green campus spaces useful for group study and outdoor events. Accessibility gaps remain despite improvements in some areas. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",3
COMSATS,Islamabad,Electrical Engineering,Faculty,Postgraduate student,"University: COMSATS, City: Islamabad. Faculty: Faculty are research-active and helpful in securing internships and industry collaborations. Variation in faculty quality exists — adjuncts sometimes lack consistent feedback.",3
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Mechanical Engineering,Hostels,Alumni,"University: Pakistan Institute of Engineering and Applied Sciences (PIEAS), City: Islamabad. Hostels: Strict curfews and slow maintenance responses frustrate many residents.",2
NUST,Islamabad,Economics,Events,Staff,"University: NUST, City: Islamabad. Events: Tech expos and speaker series bring industry professionals and recent research talks. Event funding fluctuates year-to-year causing some cancellations.",3
Quaid-i-Azam University,Islamabad,Economics,Hostels,Alumni,"University: Quaid-i-Azam University, City: Islamabad. Hostels: Strict curfews and slow maintenance responses frustrate many residents. This aligns with several student forum complaints from last semester.",3
Air University,Islamabad,Economics,Overall,Postgraduate student,"University: Air University, City: Islamabad. Overall: Overall reputation is strong for certain departments but weaker for others, causing mixed outcomes.",1
Quaid-i-Azam University,Islamabad,Business,Faculty,Undergraduate student,"University: Quaid-i-Azam University, City: Islamabad. Faculty: Several professors run labs with graduate students and publish regularly, offering good mentorship. Business faculty recently collaborated with local industry on projects. Based on informal surveys among peers, this is a recurring pattern.",5
Quaid-i-Azam University,Islamabad,Civil,Faculty,Undergraduate student,"University: Quaid-i-Azam University, City: Islamabad. Faculty: Faculty are research-active and helpful in securing internships and industry collaborations. Variation in faculty quality exists — adjuncts sometimes lack consistent feedback. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",2
GIKI (commuter students),Rawalpindi,Medical,Sports,Staff,"University: GIKI (commuter students), City: Rawalpindi. Sports: Active student clubs organize inter-department tournaments and fitness sessions. Facilities are small for growing interest, with limited coaching staff. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",3
FAST-NUCES,Islamabad,Physics,Management,Postgraduate student,"University: FAST-NUCES, City: Islamabad. Management: Grievance cells and student helplines exist to address issues. Physics faculty recently collaborated with local industry on projects. Based on informal surveys among peers, this is a recurring pattern.",5
Riphah International University,Islamabad,Physics,Overall,Alumni,"University: Riphah International University, City: Islamabad. Overall: Overall positive academic environment with opportunities for research. Overall reputation is strong for certain departments but weaker for others, causing mixed outcomes. Alumni feedback corroborates these points.",4
Fatima Jinnah Women University (Rawalpindi),Rawalpindi,Computer Science,Campus,Undergraduate student,"University: Fatima Jinnah Women University (Rawalpindi), City: Rawalpindi. Campus: Green campus spaces useful for group study and outdoor events. Older buildings need renovation and signage is insufficient between blocks. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship. Hostel maintenance needs faster turnaround.",2
Riphah International University,Islamabad,Computer Science,Events,Staff,"University: Riphah International University, City: Islamabad. Events: Student societies run well-attended cultural and academic events. Computer Science faculty recently collaborated with local industry on projects.",4
FAST-NUCES,Islamabad,Electrical Engineering,Faculty,Faculty,"University: FAST-NUCES, City: Islamabad. Faculty: Several professors run labs with graduate students and publish regularly, offering good mentorship. Variation in faculty quality exists — adjuncts sometimes lack consistent feedback. Based on informal surveys among peers, this is a recurring pattern.",2
CUST,Islamabad,Civil,Overall,Faculty,"University: CUST, City: Islamabad. Overall: Placement support favours top students; average students find fewer opportunities. This aligns with several student forum complaints from last semester.",1
Foundation University Islamabad,Islamabad,Business,Faculty,Postgraduate student,"University: Foundation University Islamabad, City: Islamabad. Faculty: Faculty are research-active and helpful in securing internships and industry collaborations. Variation in faculty quality exists — adjuncts sometimes lack consistent feedback. Lab booking logs and placement statistics reflect this trend.",2
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Computer Science,Events,Alumni,"University: Pakistan Institute of Engineering and Applied Sciences (PIEAS), City: Islamabad. Events: Tech expos and speaker series bring industry professionals and recent research talks. More networking sessions would help.",4
Riphah Rawalpindi Campus,Rawalpindi,Biology,Faculty,Faculty,"University: Riphah Rawalpindi Campus, City: Rawalpindi. Faculty: Faculty are research-active and helpful in securing internships and industry collaborations. Variation in faculty quality exists — adjuncts sometimes lack consistent feedback.",4
GIKI (commuter students),Rawalpindi,Mechanical Engineering,Cafeteria,Undergraduate student,"University: GIKI (commuter students), City: Rawalpindi. Cafeteria: Several vendors provide variety, though peak times get crowded.",3
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Civil,Labs,Staff,"University: Pakistan Institute of Engineering and Applied Sciences (PIEAS), City: Islamabad. Labs: Lab schedules clash with other courses and maintenance downtimes are poorly communicated.",1
SZABIST Islamabad,Islamabad,Civil,Faculty,Postgraduate student,"University: SZABIST Islamabad, City: Islamabad. Faculty: Faculty are research-active and helpful in securing internships and industry collaborations. Some lecturers rely heavily on slide-based lectures and are hard to reach during office hours. Based on informal surveys among peers, this is a recurring pattern.",3
Quaid-i-Azam University,Islamabad,Computer Science,Labs,Staff,"University: Quaid-i-Azam University, City: Islamabad. Labs: Labs have modern equipment (including GPU clusters in CS) useful for projects and competitions. Certain lab equipment is dated and booking is competitive, delaying final projects.",2
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Mechanical Engineering,Cafeteria,Staff,"University: Pakistan Institute of Engineering and Applied Sciences (PIEAS), City: Islamabad. Cafeteria: Several vendors provide variety, though peak times get crowded.",5
Quaid-i-Azam University,Islamabad,Mechanical Engineering,Campus,Faculty,"University: Quaid-i-Azam University, City: Islamabad. Campus: Recent renovations provided improved study pods and accessibility features.",5
SZABIST Islamabad,Islamabad,Electrical Engineering,Overall,Staff,"University: SZABIST Islamabad, City: Islamabad. Overall: Overall reputation is strong for certain departments but weaker for others, causing mixed outcomes.",1
APCOMS,Rawalpindi,Computer Science,Campus,Faculty,"University: APCOMS, City: Rawalpindi. Campus: Recent renovations provided improved study pods and accessibility features. Accessibility gaps remain despite improvements in some areas.",2
NUST,Islamabad,Medical,Events,Staff,"University: NUST, City: Islamabad. Events: Tech expos and speaker series bring industry professionals and recent research talks. Event funding fluctuates year-to-year causing some cancellations.",3
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Business,Cafeteria,Faculty,"University: Pakistan Institute of Engineering and Applied Sciences (PIEAS), City: Islamabad. Cafeteria: Affordable food options with some healthy choices and extended hours during exams. Food hygiene and variety are sometimes a concern, especially during busy hours. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",3
Air University,Islamabad,Economics,Sports,Alumni,"University: Air University, City: Islamabad. Sports: Facilities are small for growing interest, with limited coaching staff. This aligns with several student forum complaints from last semester.",1
SZABIST Islamabad,Islamabad,Mechanical Engineering,Cafeteria,Faculty,"University: SZABIST Islamabad, City: Islamabad. Cafeteria: Several vendors provide variety, though peak times get crowded. Long queues and limited seating during events are frequent complaints. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",2
NUST,Islamabad,Computer Science,Management,Undergraduate student,"University: NUST, City: Islamabad. Management: Elective approvals and administrative disputes can take several weeks to resolve. Focus groups highlighted these issues during exit interviews.",1
CUST,Islamabad,Medical,Overall,Staff,"University: CUST, City: Islamabad. Overall: Overall positive academic environment with opportunities for research. Placement support favours top students; average students find fewer opportunities.",3
Air University,Islamabad,Biology,Labs,Alumni,"University: Air University, City: Islamabad. Labs: Practical lab sessions are well-supervised and closely linked to coursework.",4
BNU - Beaconhouse National University,Islamabad,Mechanical Engineering,Campus,Undergraduate student,"University: BNU - Beaconhouse National University, City: Islamabad. Campus: Older buildings need renovation and signage is insufficient between blocks. This aligns with several student forum complaints from last semester.",2
Air University,Islamabad,Civil,Campus,Undergraduate student,"University: Air University, City: Islamabad. Campus: Accessibility gaps remain despite improvements in some areas.",1
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Medical,Management,Undergraduate student,"University: Pakistan Institute of Engineering and Applied Sciences (PIEAS), City: Islamabad. Management: Online portals simplify registration and fee payments; scholarship info is clear. Elective approvals and administrative disputes can take several weeks to resolve. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship. Lab booking logs and placement statistics reflect this trend.",4
Riphah Rawalpindi Campus,Rawalpindi,Computer Science,Overall,Staff,"University: Riphah Rawalpindi Campus, City: Rawalpindi. Overall: Overall positive academic environment with opportunities for research. Overall reputation is strong for certain departments but weaker for others, causing mixed outcomes. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",3
APCOMS,Rawalpindi,Medical,Labs,Undergraduate student,"University: APCOMS, City: Rawalpindi. Labs: Lab schedules clash with other courses and maintenance downtimes are poorly communicated. This aligns with several student forum complaints from last semester.",1
Rawalpindi Medical University,Rawalpindi,Medical,Hostels,Staff,"University: Rawalpindi Medical University, City: Rawalpindi. Hostels: Strict curfews and slow maintenance responses frustrate many residents.",2
Riphah International University,Islamabad,Civil,Resources,Alumni,"University: Riphah International University, City: Islamabad. Resources: Recent investments improved library and database subscriptions. Resource allocation can be uneven; some departments report outdated software or restricted hours.",2
Riphah International University,Islamabad,Business,Events,Alumni,"University: Riphah International University, City: Islamabad. Events: Student societies run well-attended cultural and academic events. Lab booking logs and placement statistics reflect this trend.",5
GIKI (commuter students),Rawalpindi,Medical,Sports,Postgraduate student,"University: GIKI (commuter students), City: Rawalpindi. Sports: Active student clubs organize inter-department tournaments and fitness sessions.",4
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Economics,Resources,Undergraduate student,"University: Pakistan Institute of Engineering and Applied Sciences (PIEAS), City: Islamabad. Resources: Recent investments improved library and database subscriptions. Alumni feedback corroborates these points.",5
CUST,Islamabad,Physics,Labs,Postgraduate student,"University: CUST, City: Islamabad. Labs: Labs have modern equipment (including GPU clusters in CS) useful for projects and competitions.",4
NUML,Islamabad,Medical,Resources,Alumni,"University: NUML, City: Islamabad. Resources: Good access to online journals and lab licenses that support thesis work. Resource allocation can be uneven; some departments report outdated software or restricted hours.",4
FAST-NUCES,Islamabad,Biology,Resources,Faculty,"University: FAST-NUCES, City: Islamabad. Resources: Good access to online journals and lab licenses that support thesis work. Access to paid journals is limited for certain programs, blocking literature reviews. Based on informal surveys among peers, this is a recurring pattern.",4
Riphah Rawalpindi Campus,Rawalpindi,Civil,Labs,Staff,"University: Riphah Rawalpindi Campus, City: Rawalpindi. Labs: Practical lab sessions are well-supervised and closely linked to coursework. Lab schedules clash with other courses and maintenance downtimes are poorly communicated.",3
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Business,Labs,Undergraduate student,"University: Pakistan Institute of Engineering and Applied Sciences (PIEAS), City: Islamabad. Labs: Labs have modern equipment (including GPU clusters in CS) useful for projects and competitions. Lab schedules clash with other courses and maintenance downtimes are poorly communicated. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship. Several faculty members publish regularly.",3
Fatima Jinnah Women University (Rawalpindi),Rawalpindi,Civil,Faculty,Postgraduate student,"University: Fatima Jinnah Women University (Rawalpindi), City: Rawalpindi. Faculty: Variation in faculty quality exists — adjuncts sometimes lack consistent feedback. Focus groups highlighted these issues during exit interviews. Based on informal surveys among peers, this is a recurring pattern. A visible improvement over the past two years.",1
Riphah Rawalpindi Campus,Rawalpindi,Electrical Engineering,Hostels,Alumni,"University: Riphah Rawalpindi Campus, City: Rawalpindi. Hostels: Newer hostels have good amenities and 24/7 security. Strict curfews and slow maintenance responses frustrate many residents. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",3
Fatima Jinnah Women University (Rawalpindi),Rawalpindi,Business,Campus,Undergraduate student,"University: Fatima Jinnah Women University (Rawalpindi), City: Rawalpindi. Campus: Accessibility gaps remain despite improvements in some areas.",3
NUST,Islamabad,Mechanical Engineering,Labs,Faculty,"University: NUST, City: Islamabad. Labs: Labs have modern equipment (including GPU clusters in CS) useful for projects and competitions. Mechanical Engineering faculty recently collaborated with local industry on projects.",5
COMSATS,Islamabad,Computer Science,Labs,Faculty,"University: COMSATS, City: Islamabad. Labs: Lab schedules clash with other courses and maintenance downtimes are poorly communicated.",3
Riphah Rawalpindi Campus,Rawalpindi,Medical,Resources,Postgraduate student,"University: Riphah Rawalpindi Campus, City: Rawalpindi. Resources: Good access to online journals and lab licenses that support thesis work.",5
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Economics,Cafeteria,Faculty,"University: Pakistan Institute of Engineering and Applied Sciences (PIEAS), City: Islamabad. Cafeteria: Several vendors provide variety, though peak times get crowded. A visible improvement over the past two years.",3
Air University,Islamabad,Business,Faculty,Alumni,"University: Air University, City: Islamabad. Faculty: Several professors run labs with graduate students and publish regularly, offering good mentorship. Lab booking logs and placement statistics reflect this trend.",5
APCOMS,Rawalpindi,Biology,Events,Faculty,"University: APCOMS, City: Rawalpindi. Events: Student societies run well-attended cultural and academic events.",3
Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Electrical Engineering,Cafeteria,Postgraduate student,"University: Pakistan Institute of Engineering and Applied Sciences (PIEAS), City: Islamabad. Cafeteria: Long queues and limited seating during events are frequent complaints.",1
APCOMS,Rawalpindi,Mechanical Engineering,Cafeteria,Postgraduate student,"University: APCOMS, City: Rawalpindi. Cafeteria: Affordable food options with some healthy choices and extended hours during exams. Food hygiene and variety are sometimes a concern, especially during busy hours. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",3
Quaid-i-Azam University,Islamabad,Medical,Cafeteria,Faculty,"University: Quaid-i-Azam University, City: Islamabad. Cafeteria: Long queues and limited seating during events are frequent complaints.",2
NUML,Islamabad,Electrical Engineering,Management,Staff,"University: NUML, City: Islamabad. Management: Online portals simplify registration and fee payments; scholarship info is clear. Elective approvals and administrative disputes can take several weeks to resolve.",3
Air University,Islamabad,Physics,Faculty,Alumni,"University: Air University, City: Islamabad. Faculty: Faculty are research-active and helpful in securing internships and industry collaborations. Variation in faculty quality exists — adjuncts sometimes lack consistent feedback. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship. Alumni feedback corroborates these points.",3
Riphah International University,Islamabad,Civil,Campus,Alumni,"University: Riphah International University, City: Islamabad. Campus: Recent renovations provided improved study pods and accessibility features.",4
Riphah International University,Islamabad,Electrical Engineering,Cafeteria,Faculty,"University: Riphah International University, City: Islamabad. Cafeteria: Several vendors provide variety, though peak times get crowded. In Electrical Engineering, students reported strong project outcomes this year.",4
COMSATS,Islamabad,Mechanical Engineering,Sports,Faculty,"University: COMSATS, City: Islamabad. Sports: Facilities are adequate for casual and intramural sports.",5
NUST,Islamabad,Mechanical Engineering,Campus,Faculty,"University: NUST, City: Islamabad. Campus: Green campus spaces useful for group study and outdoor events. Older buildings need renovation and signage is insufficient between blocks. Suggested improvements include clearer scheduling and enhanced faculty-student mentorship.",4
Riphah International University,Islamabad,Physics,Labs,Alumni,"University: Riphah International University, City: Islamabad. Labs: Lab schedules clash with other courses and maintenance downtimes are poorly communicated. Alumni feedback corroborates these points.",3
